id;notes;transaction_date;cash_amount;credit_amount;credit_card_amount;transaction_id;location_code;tenant_code
1;circuit cross-platform;2022-10-26T20:31:31;6576;765;67377;feed Fork cyan;EXE Tanzanian;back
2;Steel Factors;2022-10-26T21:27:12;14239;59964;97812;generate Checking open-source;SSL payment Plastic;quantifying firewall open-source
3;Timor-Leste Creative;2022-10-26T02:38:33;34861;54664;95463;multi-state payment Upgradable;convergence;Assurance calculating cultivate
4;Bedfordshire Right-sized;2022-10-26T07:26:38;67942;41472;46543;transmitting payment;foreground Chips;bandwidth Operations
5;Frozen Supervisor ADP;2022-10-26T08:19:21;85376;68115;41474;Plastic;Checking;quantifying User-friendly
6;Bahamian Yuan;2022-10-26T16:55:09;66474;98959;73286;content SQL application;yellow Rapid synthesizing;Tools Summit Bacon
7;salmon backing;2022-10-26T12:04:55;18823;99026;61296;white enable;yellow;Jersey Orchestrator
8;system;2022-10-26T21:01:43;45098;93533;2027;magenta Ridges;bricks-and-clicks;Nauru vortals Vermont
9;cohesive Object-based Analyst;2022-10-26T15:40:48;9277;20156;26953;Buckinghamshire;auxiliary;content Fresh calculate
10;firmware Soap;2022-10-26T08:01:25;9749;52382;65058;green;Cliff cross-platform;architectures
